station_id;station_name;lat;lon;altitude;from_date;to_date;fed_state
06322;Kusel (Kläranlage);49.5414;7.4299;215;20090915;20190623;Rheinland-Pfalz
06323;Meisburg;50.0971;6.6746;523;20090915;20190623;Rheinland-Pfalz
06324;Oberzerf;49.5892;6.6751;369;20090915;20190623;Rheinland-Pfalz
06325;Odenbach;49.6870;7.6528;160;20090915;20110301;Rheinland-Pfalz
06326;Pirmasens-Felsalbe;49.2156;7.5825;290;20090915;20101220;Rheinland-Pfalz
06327;Sinzig;50.5539;7.2554;60;20090915;20190623;Rheinland-Pfalz
06328;Speicher;49.9285;6.6209;325;20090915;20190623;Rheinland-Pfalz
06329;Sprendlingen;49.8559;7.9806;128;20161020;20190623;Rheinland-Pfalz
06330;Strohn;50.1153;6.9215;390;20090916;20190623;Rheinland-Pfalz
06331;Wawern;49.6503;6.5332;163;20090828;20100826;Rheinland-Pfalz
06332;Weidenthal;49.4114;8.0060;210;20090916;20100519;Rheinland-Pfalz
06333;Hüttgeswasen;49.7286;7.1289;650;20090916;20190623;Rheinland-Pfalz
06334;Birkweiler;49.2039;8.0308;215;20090916;20100831;Rheinland-Pfalz
06336;Lohr/Main-Halsbach;50.0132;9.6540;285;20051101;20190623;Bayern
06337;Lüdinghausen-Brochtrup;51.7663;7.5194;59;20040801;20190623;Nordrhein-Westfalen
06338;Steben, Bad;50.3618;11.6223;608;20050301;20190623;Bayern
06340;Kirchberg, Rhein-Hunsrück-Kreis;49.9321;7.3880;393;20081105;20190623;Rheinland-Pfalz
06341;Dießen/Ammersee-Dettenschwang;47.9603;11.0136;658;20031115;20190623;Bayern
06342;Schlehdorf;47.6572;11.3187;609;20031010;20190623;Bayern
06343;Achenkirch/Österreich;47.5075;11.7049;902;20040902;20190623;Tirol
06344;Runkel-Ennerich;50.3940;8.1423;168;20041201;20190623;Hessen
06346;Maisach-Galgen;48.2070;11.2035;531;20050201;20190623;Bayern
06347;Schonungen-Mainberg;50.0579;10.2972;304;20050301;20190623;Bayern
07075;Elsendorf-Horneck;48.7020;11.8493;425;20050201;20190623;Bayern
07077;Groß Lukow;53.5255;13.0161;54;20041101;20190623;Mecklenburg-Vorpommern
07078;Dodow;53.5035;11.0014;34;20041101;20190615;Mecklenburg-Vorpommern
07079;Berkholz-Meyenburg;53.0443;14.2423;14;20041201;20190623;Brandenburg
07099;Liebenburg-Othfresen;52.0111;10.3966;187;20041101;20190623;Niedersachsen
07104;Königheim;49.6208;9.6033;225;20050101;20190623;Baden-Württemberg
07105;Siegsdorf-Höll;47.8350;12.6548;719;20050601;20190623;Bayern
07106;Bielefeld-Deppendorf;52.0714;8.4565;105;20060901;20190623;Nordrhein-Westfalen
07135;Aulendorf-Haslach;47.9655;9.6804;565;20050101;20160516;Baden-Württemberg
07138;Burladingen-Hausen;48.2962;9.0701;682;20050101;20190623;Baden-Württemberg
07139;Einöllen;49.6111;7.6428;303;20090916;20190623;Rheinland-Pfalz
07140;Eckelsheim (Villa Bäder) (WWV RLP);49.7874;7.9839;140;20081105;20160824;Rheinland-Pfalz
07187;Freudenberg/Main-Boxtal;49.7636;9.4063;193;20041201;20190623;Baden-Württemberg
07224;Altshausen;47.9322;9.5508;570;20081103;20190623;Baden-Württemberg
07226;Kißlegg, Kr. Ravensburg;47.7777;9.8870;640;20081103;20190623;Baden-Württemberg
07227;Külsheim (LUBW);49.6789;9.5230;280;20081103;20190623;Baden-Württemberg
07228;Leinzell-Eschach;48.8868;9.8666;493;20081103;20101201;Baden-Württemberg
07229;Massenbachhausen;49.1739;9.0421;220;20081103;20101130;Baden-Württemberg
07230;Möckmühl (LUBW);49.3078;9.3606;170;20081103;20190623;Baden-Württemberg
07231;Niederstetten-Adolzhausen;49.4042;9.8691;375;20081103;20161111;Baden-Württemberg
07233;Rot am See;49.2570;10.0152;415;20081103;20190623;Baden-Württemberg
07234;Schiltach (LUBW);48.2934;8.3066;310;20081103;20190512;Baden-Württemberg
07235;Schömberg-Stausee;48.2109;8.7656;650;20081103;20190623;Baden-Württemberg
07237;Schwäbisch Hall-Wielandsweiler;49.0537;9.6245;380;20081103;20121201;Baden-Württemberg
07238;Vaihingen/ Enz;48.9243;8.9536;200;20081103;20190623;Baden-Württemberg
07239;Waibstadt/Schwarzbach;49.3031;8.9032;178;20081103;20160402;Baden-Württemberg
07240;Horb-Altheim (LUBW);48.4692;8.6304;567;20081103;20190623;Baden-Württemberg
07241;Welzheim (LUBW);48.8707;9.6442;470;20081103;20190623;Baden-Württemberg
07242;Wiesensteig;48.5682;9.6372;565;20081103;20190623;Baden-Württemberg
07243;Winden;48.1372;8.0097;303;20081103;20190623;Baden-Württemberg
07244;Neuglobsow (HM);53.1424;13.0319;62;19910206;20040930;Brandenburg
07285;Bösdorf;52.4153;11.0758;68;20050801;20190623;Sachsen-Anhalt
07287;Berchtesgaden/Jenner;47.6050;13.0153;980;20050912;20190623;Bayern
07298;Hattstedt;54.5268;9.0425;5;20050701;20190623;Schleswig-Holstein
07319;Donauwörth-Osterweiler;48.7374;10.7393;435;20050301;20190623;Bayern
07321;Olbersleben;51.1507;11.3321;160;20050901;20190623;Thüringen
07322;Malsburg-Marzell;47.7660;7.7215;700;20050901;20190623;Baden-Württemberg
07323;Belgershain;51.2359;12.5517;150;20060101;20190623;Sachsen
07324;Heidesheim (Kläranlage);50.0003;8.1025;85;20081105;20120206;Rheinland-Pfalz
07326;Grimma-Kleinbothen;51.1918;12.7645;134;20060101;20190623;Sachsen
07327;Frankenberg-Altenhain;50.8836;13.0425;326;20070501;20190623;Sachsen
